OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
62075,FLYING J TRAVEL PLAZA #657,US-283/US-50/US-56 & US-400,Dodge City,KS,570,3.799,44.4710928,-93.2946643
62097,FLASH MARKET #17046,US-65/SR-9,Clinton,AR,695,3.239,36.1500367,-78.7251011
62238,Circle K #2726278,SR-207,Hastings,FL,75,3.569,29.5043588,-98.3685474
62283,Circle K #2745099,US-23 & US-341/SR-27,Hazlehurst,GA,195,3.529,30.1755249,-85.6243147
62316,BP,US-20,Delaware,IA,335,3.299,51.507825,-0.134197
62355,MINIT MART #600630,"I-39, EXIT 14",El Paso,IL,368,3.679,45.599399,-122.6582727
62480,CM GALLIANO,US-167,Cut Off,LA,725,3.499,40.3072592,-3.013417
62487,Fred's Food Mart,US-61,Saint Francisville,LA,600,3.799,37.7863575,-122.4095909
62547,MARATHON,SR-32W,Gaylord,MI,287,3.799,44.8914036,-89.7748098
62550,Sunoco,"I-275, EXIT 11",New Boston                              ,MI,325,3.399,42.5946073,-82.7791641
62701,PILOT TRAVEL CENTERS #408,"I-68, EXIT 22",Grantsville,MD,14,4.259,43.1217027,-71.4807373
62753,PETRO SERVE USA,US-10,West Fargo,ND,341,3.029,46.8663008,-96.8609544
62768,PUMP & PANTRY #34,US-20 & SR-27,Gordon,NE,475,3.449,40.8867399,-98.340418
62774,MR MIKES MINI MART,SR-9,Northwood                               ,NH,34,3.599,42.6657289,-71.7043768
62800,A ONE TRUCK STOP,US-9,South Amboy,NJ,79,3.499,40.4953179,-74.298646
62817,LOVES TRAVEL STOP #364,I-75 EXIT 33,Charleston,TN,285,3.589,41.5092474,-112.0537895
62824,FLYING J TRAVEL PLAZA #1005,"I-80, EXIT 48",Fernley,NV,966,3.91566666,30.8118225,-97.6109688
62841,SPEEDWAY #9912,"I-81, EXIT 10",Mc Graw,NY,32,4.309,39.7881233,-86.2407144
62844,CIRCLE K #4707612,"I-81, EXIT 14",Tully,NY,220,3.799,30.1755249,-85.6243147
62911,DAVIS TRAVEL CENTER #108,"I-85, EXIT 39",Warfield,VA,180,3.099,36.977456,-77.39576
62918,CIRCLE K #4705567,ST 91,Twinsburg,OH,305,3.63233333,41.2844036,-81.440084
62991,ONVO TRAVEL PLAZA,"I-84, EXIT 17",Lake Ariel,PA,200,3.58566666,42.5878634,-76.1302114
62996,MARTIN GENERAL STORE,US-22,Alexandria,PA,14,3.539,40.373533,-78.8742203
63013,TA WEST GREENWICH,"I-95, EXIT 5B",West Greenwich,RI,175,3.76566666,41.608803,-71.6640989
63018,CIRCLE K #2723354,"I-526, EXIT 18A & US-78",Charleston,SC,42,3.299,30.1755249,-85.6243147
63126,PWI #120,"I-10, EXIT 593",Schertz,TX,740,2.92566666,-6.2336662,106.8866389
